ID   Audio     Condition               Interest_Area       Labeled? pts-in-poly    pts-total   pts-in-all     Rel_Ratio    Total_Ratio
053  silent    OneItem  Labelled       075_weeble_1        0        0              45          24             0.0            0.0
004  sound     MultiItem  Labelled     075_donut_2         0        0              107         107            0.0            0.0
004  sound     MultiItem  Labelled     075_foot_4          0        0              107         107            0.0            0.0
004  sound     MultiItem  Labelled     075_stand+donuts_3  0        33             107         107            0.308411214953 0.308411214953
004  sound     MultiItem  Labelled     053_boat_1          1        64             107         107            0.598130841121 0.598130841121
004  sound     MultiItem  Labelled     053_hand_2          0        10             107         107            0.09345794392520.0934579439252
089  silent    OneItem  Labelled       004_foot_5          0        90             105         98             0.918367346939 0.857142857143
089  silent    OneItem  Labelled       004_hand_3          0        0              105         98             0.0            0.0
089  silent    OneItem  Labelled       004_cup_1           1        8              105         98             0.08163265306120.0761904761905
069  silent    OneItem  NonLabelled    004_bear_2          0        123            123         123            1.0            1.0
069  silent    OneItem  NonLabelled    004_blocks_4        0        0              123         123            0.0            0.0
003  silent    MultiItem  Labelled     089_weeble_1        1        70             143         102            0.686274509804 0.48951048951
003  silent    MultiItem  Labelled     089_hand_3          0        0              143         102            0.0            0.0
003  silent    MultiItem  Labelled     089_hand_2          0        32             143         102            0.313725490196 0.223776223776
003  silent    MultiItem  Labelled     069_lid_1           0        0              143         102            0.0            0.0
003  silent    MultiItem  Labelled     069_hand_2          0        0              143         102            0.0            0.0
003  silent    MultiItem  Labelled     003_belt_1          1        0              143         102            0.0            0.0
061  sound     OneItem  Labelled       003_arm_2           0        59             97          59             1.0            0.60824742268
005  sound     MultiItem  Labelled     003_hand_5          0        0              102         50             0.0            0.0
005  sound     MultiItem  Labelled     003_hand_2          0        0              102         50             0.0            0.0
005  sound     MultiItem  Labelled     003_bed_3           0        33             102         50             0.66           0.323529411765
005  sound     MultiItem  Labelled     003_block_4         0        0              102         50             0.0            0.0
005  sound     MultiItem  Labelled     061_Tambourine_1    1        17             102         50             0.34           0.166666666667
093  silent    OneItem  NonLabelled    005_car_2           1        120            134         120            1.0            0.89552238806
093  silent    OneItem  NonLabelled    005_car_1           1        0              134         120            0.0            0.0
093  silent    OneItem  NonLabelled    005_hippo3_5        0        0              134         120            0.0            0.0
043  silent    MultiItem  NonLabelled  005_hippo1_3        0        0              97          45             0.0            0.0
043  silent    MultiItem  NonLabelled  005_hippos2_4       0        35             97          45             0.777777777778 0.360824742268
043  silent    MultiItem  NonLabelled  093_donut_1         0        10             97          45             0.222222222222 0.103092783505
090  sound     OneItem  NonLabelled    093_hands_2         0        0              105         105            0.0            0.0
090  sound     OneItem  NonLabelled    093_sock_3          0        105            105         105            1.0            1.0
045  silent    MultiItem  NonLabelled  043_bottle_1        0        0              119         119            0.0            0.0
045  silent    MultiItem  NonLabelled  043_hand_2          0        0              119         119            0.0            0.0
045  silent    MultiItem  NonLabelled  043_legoman_3       0        119            119         119            1.0            1.0

Standard_Deviations                                                                35.8639186811  28.233385302739.4027123042  0.382830892287 0.305522783227
